id,codigo,tipo,municipio,estado,coordenada_e,coordenada_n,altitude,latitude,longitude,data_levantamento,metodo,precisao_horizontal,precisao_vertical,observacoes,status,criado_em,atualizado_em
65,FHV-P-0024,P,JUFAP,PR,640858.41,7186858.34,817.6,-25.428553705047868,-49.59930525456934,,PG6,0.48,0.6,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
66,FHV-P-0025,P,JUFAP,PR,640852.19,7186855,826.16,-25.428584447646283,-49.59936674293364,,PG6,0.18,0.33,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
67,FHV-P-0026,P,JUFAP,PR,640867.03,7186839.86,817.73,-25.4287197227888,-49.599217628618675,,PG6,0.32,0.49,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
68,FHV-P-0027,P,JUFAP,PR,640870.18,7186828.35,822.84,-25.428823334832835,-49.59918511090684,,PG6,0.29,0.39,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
69,FHV-P-0028,P,JUFAP,PR,640903.37,7186811.16,820.71,-25.42897537708932,-49.59885335244418,,PG6,0.22,0.3,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
70,FHV-P-0029,P,JUFAP,PR,640920.78,7186784.38,824.56,-25.429215492183484,-49.598677471414284,,PG6,0.01,0.01,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
71,FHV-P-0030,P,JUFAP,PR,640938.26,7186751.52,822.4,-25.42951048974372,-49.598500258737914,,PG6,0.32,0.38,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
72,FHV-P-0031,P,JUFAP,PR,640972.88,7186701.27,822.74,-25.42996085546245,-49.59815082709841,,PG6,0.42,0.51,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
73,FHV-P-0286,P,Pauli,PR,650693.9464,7192063.791,962643,-25.380596727827783,-49.50210692565184,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
74,FHV-P-0287,P,Pauli,PR,650624.0859,7191949.645,964872,-25.381634251372937,-49.502788440913484,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
75,FHV-P-0288,P,Pauli,PR,650643.3532,7191958.116,968581,-25.381555830334634,-49.50259791795195,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
76,FHV-P-0289,P,Pauli,PR,650672.5243,7191964.714,970185,-25.381493315655373,-49.502308769116944,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
77,FHV-P-0290,P,Pauli,PR,650713.8951,7191974.703,973074,-25.381398953513365,-49.50189876573543,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
78,FHV-P-0291,P,Pauli,PR,650722.4114,7191976.759,973451,-25.38137953104312,-49.501814365398914,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
79,FHV-P-0292,P,Pauli,PR,650715.0205,7192041.283,970124,-25.38079778690849,-49.50189499917299,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
80,FHV-P-0293,P,Pauli,PR,650729.3218,7192003.219,971854,-25.381139963323207,-49.501748642316464,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
81,FHV-P-0294,P,Pauli,PR,650724.0121,7191972.139,982368,-25.381421076210657,-49.50179794399744,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
82,FHV-P-0295,P,Pauli,PR,650739.1396,7191977.379,981963,-25.381372240889217,-49.50164820066794,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
83,FHV-P-0296,P,Pauli,PR,650742.5754,7191968.34,980098,-25.381453492921207,-49.5016130508254,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
84,FHV-P-0297,P,Pauli,PR,650769.8788,7191895.528,978016,-25.38210804105507,-49.50133361312058,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
85,FHV-P-0298,P,Pauli,PR,650782.2225,7191861.951,977741,-25.382409908427384,-49.50120720653594,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
86,FHV-P-0299,P,Pauli,PR,650788.0214,7191841.503,976451,-25.38259391603613,-49.501147301267636,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
87,FHV-P-0300,P,Pauli,PR,650789.8687,7191823.421,973124,-25.382756964627387,-49.50112692836105,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
88,FHV-P-0301,P,Pauli,PR,650787.3338,7191796.865,961674,-25.382996956157037,-49.501149158801205,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
89,FHV-P-0302,P,Pauli,PR,650755.9986,7191932.528,979651,-25.38177542786062,-49.50147566925104,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
90,FHV-P-0304,P,Pauli,PR,650743.0831,7192051.889,961354,-25.380699200815393,-49.501617314602974,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
91,FHV-P-0305,P,Pauli,PR,650757.3853,7192013.823,962278,-25.38104139489194,-49.5014709479465,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
92,FHV-P-0306,P,Pauli,PR,650784.0871,7191943.065,963018,-25.381677461178878,-49.50119771780419,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
93,FHV-P-0307,P,Pauli,PR,650810.7734,7191871.232,962398,-25.38232323292952,-49.50092451883453,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
94,FHV-P-0308,P,Pauli,PR,650817.5994,7191847.163,963247,-25.382539825039945,-49.500854002781715,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
95,FHV-P-0309,P,Pauli,PR,650820.0146,7191823.521,963429,-25.382753009070477,-49.50082736616015,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
96,FHV-P-0310,P,Pauli,PR,650673.6323,7191959.975,976321,-25.381535985008803,-49.502297230745974,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
97,FHV-P-0311,P,Pauli,PR,650644.8834,7191953.472,975368,-25.381597599391938,-49.50258219469831,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
98,FHV-P-0312,P,Pauli,PR,650626.9681,7191945.596,973089,-25.381670512327606,-49.502759348635294,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
99,FHV-P-0313,P,Pauli,PR,650613.4002,7191930.969,972698,-25.38180393024677,-49.50289254947716,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
100,FHV-P-0314,P,Pauli,PR,650608.9648,7191902.866,976328,-25.38205807948287,-49.502933497160036,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
101,FHV-P-0315,P,Pauli,PR,650602.1167,7191872.162,969364,-25.382335953308395,-49.50299813145417,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
102,FHV-P-0316,P,Pauli,PR,650587.2477,7191843.11,967968,-25.382599724731723,-49.50314265717142,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
103,FHV-P-0317,P,Pauli,PR,650577.7379,7191816.481,965329,-25.382841080438208,-49.50323419631084,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
104,FHV-P-0318,P,Pauli,PR,650580.4817,7191786.855,965412,-25.38310825258746,-49.50320363220938,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
105,FHV-P-0319,P,Pauli,PR,650584.6351,7191758.139,964395,-25.383367067121796,-49.503159161324724,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
106,FHV-P-0320,P,Pauli,PR,650584.025,7191728.2,962398,-25.383637404001373,-49.50316189150574,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
107,FHV-P-0321,P,Pauli,PR,650580.6925,7191706.305,968693,-25.383835398730888,-49.50319257108624,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
108,FHV-P-0322,P,Pauli,PR,650577.4713,7191688.537,961965,-25.383996125588872,-49.50322260409272,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
109,FHV-P-0323,P,Pauli,PR,650574.2501,7191670.768,959695,-25.384156861468476,-49.50325263705606,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
110,FHV-P-0324,P,Pauli,PR,650567.5696,7191643.837,961542,-25.384400657349794,-49.50331602737108,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
111,FHV-P-0325,P,Pauli,PR,650543.1677,7191606.764,960680,-25.38473780215447,-49.50355439763626,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
112,FHV-P-0326,P,Pauli,PR,650527.5031,7191590.054,959634,-25.384890235795048,-49.50370820701044,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
113,FHV-P-0327,P,Pauli,PR,650519.094,7191581.75,960983,-25.384966050462832,-49.50379084954939,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
114,FHV-P-0328,P,Pauli,PR,650774.059,7191405.853,959555,-25.38652816866976,-49.50123749295493,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
115,FHV-P-0329,P,Pauli,PR,650774.2692,7191232.065,958555,-25.388097021353694,-49.50121603026964,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
116,FHV-P-0330,P,Pauli,PR,650783.6874,7191232.345,960523,-25.388093539825977,-49.50112246447733,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
117,FHV-P-0331,P,Pauli,PR,650783.6874,7191232.345,960752,-25.388093539825977,-49.50112246447733,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
118,FHV-P-7101,P,Pauli,PR,651126.9418,7190597.619,982226,-25.393788723332772,-49.49764030635524,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
119,FHV-P-7102,P,Pauli,PR,651239.1208,7190625.008,970426,-25.3935300752271,-49.49652849771482,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
120,FHV-P-7103,P,Pauli,PR,651339.8181,7190674.73,964782,-25.393070975533462,-49.4955333024397,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
121,FHV-P-7104,P,Pauli,PR,651399.3875,7190640.886,964851,-25.393370443824644,-49.49493749609113,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
122,FHV-P-7107,P,Pauli,PR,651115.7343,7190509.909,979014,-25.394581662667132,-49.49774188669817,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
123,FHV-P-7110,P,Pauli,PR,651013.1425,7190645.787,981964,-25.393365436957687,-49.49877666255717,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
