codigo,x_antigo,y_antigo,x_corrigido,y_corrigido,latitude,longitude,x_alterado,y_alterado
FHV-P-7122,6511280664,71912028331,651128.0664,7191202.8331,-25.388325040829073,-49.49769677030288,Sim,Sim
FHV-P-7123,6510992849,71912190782,651099.2849,7191219.0782,-25.388181309494616,-49.4979846126956,Sim,Sim
FHV-P-7124,6510887315,71912212807,651088.7315,7191221.2807,-25.388162497448118,-49.498089737174176,Sim,Sim
FHV-P-7126,6507808132,71917597208,650780.8132,7191759.7208,-25.383332936449506,-49.50120981699214,Sim,Sim
FHV-P-7127,6507744354,71917230952,650774.4354,7191723.0952,-25.383664220586468,-49.50126911419249,Sim,Sim
FHV-P-7128,6507674719,71916839032,650767.4719,7191683.9032,-25.3840187322299,-49.50133394605519,Sim,Sim
FHV-P-7129,6507605730,71916447006,650760.573,7191644.7006,-25.38437333299675,-49.50139813509193,Sim,Sim
FHV-P-7130,6507534291,71916003290,650753.4291,7191600.329,-25.384774621792566,-49.501464183085,Sim,Sim
FHV-P-7131,6507497019,71915697479,650749.7019,7191569.7479,-25.38505107063565,-49.50149781440078,Sim,Sim
FHV-P-7132,6507461558,71915318339,650746.1558,7191531.8339,-25.385393699033088,-49.501528828895516,Sim,Sim
FHV-P-7133,6507439796,71914935405,650743.9796,7191493.5405,-25.385739613768948,-49.501546187579784,Sim,Sim
FHV-P-7134,6505912365,71913531848,650591.2365,7191353.1848,-25.387022134265653,-49.503048475701796,Sim,Sim
FHV-P-7135,6506992471,71911799811,650699.2471,7191179.9811,-25.388574805393667,-49.50195578790356,Sim,Sim
FHV-P-7136,6507222957,71911288345,650722.2957,7191128.8345,-25.38903419893097,-49.50172103226852,Sim,Sim
FHV-P-7137,6507425805,71911264483,650742.5805,7191126.4483,-25.389053686602082,-49.501519176635426,Sim,Sim
FHV-P-7138,6507422098,71911411685,650742.2098,7191141.1685,-25.3889208373065,-49.50152450143529,Sim,Sim
FHV-P-7139,6507441966,71912154907,650744.1966,7191215.4907,-25.38824969130565,-49.501513041001566,Sim,Sim
FHV-P-7140,6507439674,71914057324,650743.9674,7191405.7324,-25.38653230428291,-49.50153652261205,Sim,Sim
FHV-P-7153,6510888053,71912283797,651088.8053,7191228.3797,-25.38809840372124,-49.49808979683533,Sim,Sim
FHV-P-7154,6510033228,71912334481,651003.3228,7191233.4481,-25.388061321241643,-49.498939877193635,Sim,Sim
FHV-P-7155,6509401107,71912329585,650940.1107,7191232.9585,-25.38807215105528,-49.49956801655616,Sim,Sim
FHV-P-7156,6508767078,71912353147,650876.7078,7191235.3147,-25.38805730703554,-49.5001983698027,Sim,Sim
FHV-P-7159,6507744252,71912227421,650774.4252,7191222.7421,-25.388181168175393,-49.501213440601795,Sim,Sim
FHV-P-7160,6508501643,71912312976,650850.1643,7191231.2976,-25.388096261134645,-49.50046170786199,Sim,Sim
FHV-P-7161,6508765221,71912303181,650876.5221,7191230.3181,-25.38810243271542,-49.500199657848974,Sim,Sim
FHV-P-7162,6507723113,71911411466,650772.3113,7191141.1466,-25.388917986820747,-49.501225351624704,Sim,Sim
FHV-P-7163,6507742896,71912151543,650774.2896,7191215.1543,-25.388249680885824,-49.50121394225669,Sim,Sim
FHV-P-7171,6507727186,7191125.03,650772.7186,7191125.03,-25.389063438404484,-49.50121950708601,Sim,Não
FHV-P-7179,6513502917,71921956651,651350.2917,7192195.6651,-25.37933967846293,-49.49559940328906,Sim,Sim
FHV-P-7185,6509400372,71912279578,650940.0372,7191227.9578,-25.388117302367576,-49.49956818887961,Sim,Sim
FHV-P-7186,6510033615,71912284482,651003.3615,7191228.4482,-25.38810645394218,-49.49893893434293,Sim,Sim
