linha,codigo,motivo,detalhes
442,"N/A","Código ou tipo ausente",""
443,"N/A","Código ou tipo ausente",""
444,"N/A","Código ou tipo ausente",""
445,"N/A","Código ou tipo ausente",""
446,"N/A","Código ou tipo ausente",""
447,"N/A","Código ou tipo ausente",""
448,"N/A","Código ou tipo ausente",""
449,"N/A","Código ou tipo ausente",""
450,"N/A","Código ou tipo ausente",""
451,"N/A","Código ou tipo ausente",""
452,"N/A","Código ou tipo ausente",""
453,"N/A","Código ou tipo ausente",""
454,"N/A","Código ou tipo ausente",""
455,"N/A","Código ou tipo ausente",""
456,"N/A","Código ou tipo ausente",""
457,"N/A","Código ou tipo ausente",""
458,"N/A","Código ou tipo ausente",""
459,"N/A","Código ou tipo ausente",""
460,"N/A","Código ou tipo ausente",""
461,"N/A","Código ou tipo ausente",""
462,"N/A","Código ou tipo ausente",""
463,"N/A","Código ou tipo ausente",""
464,"N/A","Código ou tipo ausente",""
465,"N/A","Código ou tipo ausente",""
466,"N/A","Código ou tipo ausente",""
467,"N/A","Código ou tipo ausente",""
468,"N/A","Código ou tipo ausente",""
469,"N/A","Código ou tipo ausente",""
470,"N/A","Código ou tipo ausente",""
471,"N/A","Código ou tipo ausente",""
472,"N/A","Código ou tipo ausente",""
473,"N/A","Código ou tipo ausente",""
474,"N/A","Código ou tipo ausente",""
475,"N/A","Código ou tipo ausente",""
476,"N/A","Código ou tipo ausente",""
477,"N/A","Código ou tipo ausente",""
478,"N/A","Código ou tipo ausente",""
479,"N/A","Código ou tipo ausente",""
480,"N/A","Código ou tipo ausente",""
481,"N/A","Código ou tipo ausente",""
482,"N/A","Código ou tipo ausente",""
483,"N/A","Código ou tipo ausente",""
484,"N/A","Código ou tipo ausente",""
485,"N/A","Código ou tipo ausente",""
486,"N/A","Código ou tipo ausente",""
487,"N/A","Código ou tipo ausente",""
488,"N/A","Código ou tipo ausente",""
489,"N/A","Código ou tipo ausente",""
490,"N/A","Código ou tipo ausente",""
491,"N/A","Código ou tipo ausente",""
492,"N/A","Código ou tipo ausente",""
493,"N/A","Código ou tipo ausente",""
494,"N/A","Código ou tipo ausente",""
495,"N/A","Código ou tipo ausente",""
496,"N/A","Código ou tipo ausente",""
497,"N/A","Código ou tipo ausente",""
498,"N/A","Código ou tipo ausente",""
499,"N/A","Código ou tipo ausente",""
500,"N/A","Código ou tipo ausente",""
501,"N/A","Código ou tipo ausente",""
502,"N/A","Código ou tipo ausente",""
503,"N/A","Código ou tipo ausente",""
504,"N/A","Código ou tipo ausente",""
505,"N/A","Código ou tipo ausente",""
506,"N/A","Código ou tipo ausente",""
507,"N/A","Código ou tipo ausente",""
508,"N/A","Código ou tipo ausente",""
509,"N/A","Código ou tipo ausente",""
510,"N/A","Código ou tipo ausente",""
511,"N/A","Código ou tipo ausente",""
512,"N/A","Código ou tipo ausente",""
513,"N/A","Código ou tipo ausente",""
514,"N/A","Código ou tipo ausente",""
515,"N/A","Código ou tipo ausente",""
516,"N/A","Código ou tipo ausente",""
517,"N/A","Código ou tipo ausente",""
518,"N/A","Código ou tipo ausente",""
519,"N/A","Código ou tipo ausente",""
520,"N/A","Código ou tipo ausente",""
521,"N/A","Código ou tipo ausente",""
522,"N/A","Código ou tipo ausente",""
523,"N/A","Código ou tipo ausente",""
524,"N/A","Código ou tipo ausente",""
525,"N/A","Código ou tipo ausente",""
526,"N/A","Código ou tipo ausente",""
527,"N/A","Código ou tipo ausente",""
528,"N/A","Código ou tipo ausente",""
529,"N/A","Código ou tipo ausente",""
530,"N/A","Código ou tipo ausente",""
531,"N/A","Código ou tipo ausente",""
532,"N/A","Código ou tipo ausente",""
533,"N/A","Código ou tipo ausente",""
534,"N/A","Código ou tipo ausente",""
535,"N/A","Código ou tipo ausente",""
536,"N/A","Código ou tipo ausente",""
537,"N/A","Código ou tipo ausente",""
538,"N/A","Código ou tipo ausente",""
539,"N/A","Código ou tipo ausente",""
540,"N/A","Código ou tipo ausente",""
541,"N/A","Código ou tipo ausente",""
542,"N/A","Código ou tipo ausente",""
543,"N/A","Código ou tipo ausente",""
544,"N/A","Código ou tipo ausente",""
545,"N/A","Código ou tipo ausente",""
546,"N/A","Código ou tipo ausente",""
547,"N/A","Código ou tipo ausente",""
548,"N/A","Código ou tipo ausente",""
549,"N/A","Código ou tipo ausente",""
550,"N/A","Código ou tipo ausente",""
551,"N/A","Código ou tipo ausente",""
552,"N/A","Código ou tipo ausente",""
553,"N/A","Código ou tipo ausente",""
554,"N/A","Código ou tipo ausente",""
555,"N/A","Código ou tipo ausente",""
556,"N/A","Código ou tipo ausente",""
557,"N/A","Código ou tipo ausente",""
558,"N/A","Código ou tipo ausente",""
559,"N/A","Código ou tipo ausente",""
560,"N/A","Código ou tipo ausente",""
561,"N/A","Código ou tipo ausente",""
562,"N/A","Código ou tipo ausente",""
563,"N/A","Código ou tipo ausente",""
564,"N/A","Código ou tipo ausente",""
565,"N/A","Código ou tipo ausente",""
566,"N/A","Código ou tipo ausente",""
567,"N/A","Código ou tipo ausente",""
568,"N/A","Código ou tipo ausente",""
569,"N/A","Código ou tipo ausente",""
570,"N/A","Código ou tipo ausente",""
571,"N/A","Código ou tipo ausente",""
572,"N/A","Código ou tipo ausente",""
573,"N/A","Código ou tipo ausente",""
574,"N/A","Código ou tipo ausente",""
575,"N/A","Código ou tipo ausente",""
576,"N/A","Código ou tipo ausente",""
577,"N/A","Código ou tipo ausente",""
578,"N/A","Código ou tipo ausente",""
579,"N/A","Código ou tipo ausente",""
580,"N/A","Código ou tipo ausente",""
581,"N/A","Código ou tipo ausente",""
582,"N/A","Código ou tipo ausente",""
583,"N/A","Código ou tipo ausente",""
584,"N/A","Código ou tipo ausente",""
585,"N/A","Código ou tipo ausente",""
586,"N/A","Código ou tipo ausente",""
587,"N/A","Código ou tipo ausente",""
588,"N/A","Código ou tipo ausente",""
589,"N/A","Código ou tipo ausente",""
590,"N/A","Código ou tipo ausente",""
591,"N/A","Código ou tipo ausente",""
592,"N/A","Código ou tipo ausente",""
593,"N/A","Código ou tipo ausente",""
594,"N/A","Código ou tipo ausente",""
595,"N/A","Código ou tipo ausente",""
596,"N/A","Código ou tipo ausente",""
597,"N/A","Código ou tipo ausente",""
598,"N/A","Código ou tipo ausente",""
599,"N/A","Código ou tipo ausente",""
600,"N/A","Código ou tipo ausente",""
601,"N/A","Código ou tipo ausente",""
602,"N/A","Código ou tipo ausente",""
603,"N/A","Código ou tipo ausente",""
604,"N/A","Código ou tipo ausente",""
605,"N/A","Código ou tipo ausente",""
606,"N/A","Código ou tipo ausente",""
607,"N/A","Código ou tipo ausente",""
608,"N/A","Código ou tipo ausente",""
609,"N/A","Código ou tipo ausente",""
610,"N/A","Código ou tipo ausente",""
611,"N/A","Código ou tipo ausente",""
612,"N/A","Código ou tipo ausente",""
613,"N/A","Código ou tipo ausente",""
614,"N/A","Código ou tipo ausente",""
615,"N/A","Código ou tipo ausente",""
616,"N/A","Código ou tipo ausente",""
617,"N/A","Código ou tipo ausente",""
618,"N/A","Código ou tipo ausente",""
619,"N/A","Código ou tipo ausente",""
620,"N/A","Código ou tipo ausente",""
621,"N/A","Código ou tipo ausente",""
622,"N/A","Código ou tipo ausente",""
623,"N/A","Código ou tipo ausente",""
624,"N/A","Código ou tipo ausente",""
625,"N/A","Código ou tipo ausente",""
626,"N/A","Código ou tipo ausente",""
627,"N/A","Código ou tipo ausente",""
628,"N/A","Código ou tipo ausente",""
629,"N/A","Código ou tipo ausente",""
630,"N/A","Código ou tipo ausente",""
631,"N/A","Código ou tipo ausente",""
632,"N/A","Código ou tipo ausente",""
633,"N/A","Código ou tipo ausente",""
634,"N/A","Código ou tipo ausente",""
635,"N/A","Código ou tipo ausente",""
636,"N/A","Código ou tipo ausente",""
637,"N/A","Código ou tipo ausente",""
638,"N/A","Código ou tipo ausente",""
639,"N/A","Código ou tipo ausente",""
640,"N/A","Código ou tipo ausente",""
641,"N/A","Código ou tipo ausente",""
642,"N/A","Código ou tipo ausente",""
643,"N/A","Código ou tipo ausente",""
644,"N/A","Código ou tipo ausente",""
645,"N/A","Código ou tipo ausente",""
646,"N/A","Código ou tipo ausente",""
647,"N/A","Código ou tipo ausente",""
648,"N/A","Código ou tipo ausente",""
649,"N/A","Código ou tipo ausente",""
650,"N/A","Código ou tipo ausente",""
651,"N/A","Código ou tipo ausente",""
652,"N/A","Código ou tipo ausente",""
653,"N/A","Código ou tipo ausente",""
654,"N/A","Código ou tipo ausente",""
655,"N/A","Código ou tipo ausente",""
656,"N/A","Código ou tipo ausente",""
657,"N/A","Código ou tipo ausente",""
658,"N/A","Código ou tipo ausente",""
659,"N/A","Código ou tipo ausente",""
660,"N/A","Código ou tipo ausente",""
661,"N/A","Código ou tipo ausente",""
662,"N/A","Código ou tipo ausente",""
663,"N/A","Código ou tipo ausente",""
664,"N/A","Código ou tipo ausente",""
665,"N/A","Código ou tipo ausente",""
666,"N/A","Código ou tipo ausente",""
667,"N/A","Código ou tipo ausente",""
668,"N/A","Código ou tipo ausente",""
669,"N/A","Código ou tipo ausente",""
670,"N/A","Código ou tipo ausente",""
671,"N/A","Código ou tipo ausente",""
672,"N/A","Código ou tipo ausente",""
673,"N/A","Código ou tipo ausente",""
674,"N/A","Código ou tipo ausente",""
675,"N/A","Código ou tipo ausente",""
676,"N/A","Código ou tipo ausente",""
677,"N/A","Código ou tipo ausente",""
678,"N/A","Código ou tipo ausente",""
679,"N/A","Código ou tipo ausente",""
680,"N/A","Código ou tipo ausente",""
681,"N/A","Código ou tipo ausente",""
682,"N/A","Código ou tipo ausente",""
683,"N/A","Código ou tipo ausente",""
684,"N/A","Código ou tipo ausente",""
685,"N/A","Código ou tipo ausente",""
686,"N/A","Código ou tipo ausente",""
687,"N/A","Código ou tipo ausente",""
688,"N/A","Código ou tipo ausente",""
689,"N/A","Código ou tipo ausente",""
690,"N/A","Código ou tipo ausente",""
691,"N/A","Código ou tipo ausente",""
692,"N/A","Código ou tipo ausente",""
693,"N/A","Código ou tipo ausente",""
694,"N/A","Código ou tipo ausente",""
695,"N/A","Código ou tipo ausente",""
696,"N/A","Código ou tipo ausente",""
697,"N/A","Código ou tipo ausente",""
