codigo,utm_e,utm_n,lat_calculada,lng_calculada,motivo
FHV-V-0412,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0413,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0414,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0415,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0416,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0417,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0418,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0419,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0420,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0421,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0422,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0423,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0424,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0425,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0426,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0427,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0428,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0429,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0430,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0431,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0432,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0433,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0434,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0435,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
